Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2019-10-21,157.31349182128906,79.76730346679688,71.52873992919922,175.97000122070312,183.18524169921875,54.88157272338867,266.8399963378906,32.029998779296875,164.47203063964844,15.663778305053713
2019-10-22,158.8302764892578,78.68289947509766,72.05619049072266,170.8300018310547,178.66770935058594,53.90278244018555,261.0899963378906,31.51000022888184,164.42247009277344,16.1020565032959
2019-10-23,159.9868621826172,79.39605712890625,71.94514465332031,178.72999572753906,179.98779296875,54.17961120605469,261.32000732421875,31.36000061035156,163.570556640625,16.321199417114258
2019-10-24,153.47401428222656,79.48399353027344,71.0660629272461,179.9600067138672,180.89715576171875,54.8123664855957,269.70001220703125,31.71999931335449,165.24468994140625,16.08300018310547
2019-10-25,157.45565795898438,79.76730346679688,70.81623840332031,182.33999633789065,179.0099639892578,54.634403228759766,270.9800109863281,32.709999084472656,164.00640869140625,16.006778717041016
2019-10-28,160.2712860107422,80.75401306152344,72.48184204101562,183.91000366210935,178.8143768310547,53.94232940673828,271.3500061035156,33.689998626708984,164.84844970703125,16.178279876708984
2019-10-29,160.03427124023438,81.52578735351562,72.61139678955078,184.9499969482422,180.70159912109372,53.388668060302734,271.45001220703125,33.029998779296875,162.8077850341797,16.28308868408203
2019-10-30,159.61712646484375,82.07288360595703,73.71253967285156,181.7700042724609,182.44210815429688,55.23749923706055,278.4100036621094,33.130001068115234,162.4313507080078,16.39742088317871
2019-10-31,156.41287231445312,81.68211364746094,73.61075592041016,207.5800018310547,181.30783081054688,55.39568710327149,277.92999267578125,33.93000030517578,160.95530700683594,16.375329971313477
2019-11-01,161.2477264404297,80.75401306152344,75.64649963378906,216.7899932861328,184.0457305908203,55.18806457519531,277.82000732421875,34.88999938964844,163.27337646484375,16.81713104248047
2019-11-04,165.8076629638672,80.32416534423828,76.79391479492188,220.4199981689453,183.6350555419922,55.07930755615234,277.5,36.290000915527344,165.04656982421875,16.73069190979004
2019-11-05,166.158447265625,80.44139862060547,75.72977447509766,217.5399932861328,182.73545837402344,54.91123580932617,289.2900085449219,36.150001525878906,166.5622100830078,16.509790420532227
2019-11-06,164.9544677734375,81.20341491699219,75.95185852050781,214.6100006103516,185.0333404541016,55.721954345703125,287.3999938964844,35.93000030517578,168.10755920410156,16.98040199279785
2019-11-07,165.4474334716797,81.4671859741211,75.8870849609375,219.1300048828125,184.89642333984372,53.93244171142578,290.7699890136719,36.27999877929688,167.69151306152344,16.874753952026367
2019-11-08,164.14865112304688,81.80911254882812,78.8481674194336,219.6199951171875,185.49290466308597,53.68527221679688,292.4599914550781,36.290000915527344,165.82916259765625,16.94198226928711
2019-11-11,161.26670837402344,81.82865905761719,79.26457977294922,220.0800018310547,185.8449249267578,51.92542266845703,290.2699890136719,36.310001373291016,167.23585510253906,17.220510482788086
2019-11-12,161.958740234375,82.39527893066406,79.98634338378906,223.5399932861328,187.18453979492188,51.36187744140625,291.7200012207031,36.709999084472656,154.67483520507812,17.345365524291992
2019-11-13,161.68382263183594,82.27804565429688,80.1899185180664,220.00999450683597,190.1864776611328,51.737579345703125,293.5400085449219,37.52000045776367,157.0919189453125,17.43180274963379
2019-11-14,162.0440673828125,82.18034362792969,81.08749389648438,220.9499969482422,191.89764404296875,52.10338973999024,294.5299987792969,38.34999847412109,155.35833740234375,17.681514739990234
2019-11-15,162.94468688964844,83.73368835449219,82.0128402709961,223.22999572753903,192.44520568847656,52.83500671386719,297.5,38.560001373291016,161.13363647460938,17.719934463500977
2019-11-18,161.67434692382812,82.31712341308594,82.10537719726562,178.08999633789062,193.62838745117188,52.1330451965332,297.1600036621094,39.880001068115234,162.1341552734375,17.758352279663086
